t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.254000,2.285069e-03,7.715093e-03,1.562500e+01,2.192607e-03,7.439007e-03
0.255000,3.974929e-03,7.614412e-03,0.000000e+00,4.356615e-03,9.242084e-03
0.256000,8.143621e-03,7.323189e-03,0.000000e+00,8.245482e-03,1.186150e-02
0.257000,8.462417e-04,7.191897e-03,0.000000e+00,6.942962e-04,1.259323e-02
0.258000,7.440202e-04,6.685762e-03,0.000000e+00,9.608256e-04,1.083058e-02
0.259000,2.575447e-04,6.564857e-03,0.000000e+00,1.801325e-04,1.109028e-02
0.260000,3.536259e-03,6.446023e-03,0.000000e+00,3.173046e-03,1.282184e-02
0.261000,6.801881e-03,6.367908e-03,0.000000e+00,5.971179e-03,1.553729e-02
0.262000,3.944212e-03,6.244005e-03,0.000000e+00,3.000296e-03,1.749500e-02
0.263000,1.201183e-03,6.018398e-03,0.000000e+00,6.053836e-04,1.800744e-02
0.264000,9.396951e-04,6.324093e-03,0.000000e+00,3.864028e-04,1.936017e-02
0.265000,2.195890e-03,6.526749e-03,0.000000e+00,1.231621e-03,2.134222e-02
0.266000,2.975785e-04,6.401812e-03,0.000000e+00,9.207547e-04,1.980007e-02
0.267000,5.670989e-03,6.420720e-03,0.000000e+00,3.999005e-03,2.253095e-02
0.268000,4.926920e-05,6.412147e-03,0.000000e+00,4.591344e-04,2.149852e-02
0.269000,2.679403e-03,6.207975e-03,0.000000e+00,1.448012e-03,2.280917e-02
0.270000,1.779711e-05,6.050216e-03,1.562500e+01,1.194525e-04,2.183127e-02
0.271000,2.306401e-03,6.257357e-03,0.000000e+00,1.101650e-03,2.365936e-02
0.272000,1.078956e-08,6.184258e-03,0.000000e+00,2.625528e-04,2.286241e-02
0.273000,4.345754e-05,6.307956e-03,0.000000e+00,8.108170e-05,2.273084e-02
0.274000,3.543527e-03,6.020392e-03,0.000000e+00,1.951647e-03,2.433155e-02
0.275000,4.694483e-04,6.188763e-03,1.562500e+01,1.495791e-03,2.324922e-02
0.276000,7.992842e-06,6.068210e-03,0.000000e+00,3.471455e-04,2.211614e-02
0.277000,2.923516e-04,6.358840e-03,0.000000e+00,1.044037e-03,2.120947e-02
0.278000,2.327057e-04,6.401344e-03,0.000000e+00,8.634605e-04,2.003237e-02
0.279000,6.939616e-04,6.136649e-03,0.000000e+00,1.741283e-04,2.028175e-02
0.280000,4.364747e-05,5.940546e-03,0.000000e+00,5.007600e-05,1.975150e-02
0.281000,8.587333e-04,5.718910e-03,0.000000e+00,1.831870e-03,1.765357e-02
0.282000,2.192132e-03,5.574692e-03,0.000000e+00,1.210149e-03,1.869781e-02
0.283000,2.829027e-04,5.471577e-03,0.000000e+00,9.091927e-04,1.725453e-02
